temp_agua,temp_ambiente,umidade,ph,ec,classe
17.0,27.2,42.7,4.61,2.08,-1
22.3,36.4,54.1,6.9,1.65,-1
26.6,30.0,63.4,7.8,1.36,-1
18.8,31.6,85.8,4.16,1.62,-1
30.3,33.0,94.5,6.13,2.15,-1
20.8,37.0,57.0,6.95,1.51,-1
25.0,32.4,65.5,7.63,1.55,-1
26.4,24.8,59.5,5.76,0.81,-1
17.5,31.3,74.3,6.65,0.55,-1
21.2,22.0,81.7,7.44,1.12,-1
26.7,20.6,51.5,4.55,1.21,-1
26.8,36.2,47.2,6.17,2.25,-1
31.2,30.2,50.3,6.5,1.3,-1
31.6,26.0,76.1,4.09,1.5,0
30.0,30.2,61.6,7.74,2.63,-1
21.2,28.9,64.4,6.53,1.34,0
19.9,36.3,90.4,7.37,2.95,-1
27.9,33.3,80.8,5.92,1.64,-1
19.8,30.9,52.4,5.03,1.96,-1
22.6,22.4,84.0,7.44,0.92,-1
16.1,24.7,82.9,7.36,0.85,-1
28.4,20.3,58.4,7.99,0.98,-1
18.5,26.5,72.2,7.73,2.95,-1
17.1,20.8,82.4,5.08,2.71,-1
26.6,20.2,85.0,4.71,1.56,-1
24.8,28.0,76.2,6.61,2.98,-1
32.0,28.3,40.7,6.91,2.94,-1
21.1,27.2,60.5,4.21,2.18,0
21.7,33.7,84.9,7.28,1.54,-1
21.1,33.0,83.1,5.97,2.73,-1
18.3,35.6,40.8,4.61,1.83,-1
17.1,19.1,35.0,5.75,2.44,-1
16.6,31.0,84.4,4.67,0.87,-1
29.8,34.5,67.3,7.28,0.73,-1
22.3,32.8,50.4,7.01,1.76,-1
28.0,27.3,57.1,4.88,1.02,-1
28.0,20.4,40.2,4.71,0.94,-1
29.2,26.0,94.4,4.55,2.13,-1
23.2,25.9,87.5,7.9,2.68,-1
19.1,22.4,74.4,5.16,2.34,-1
25.1,29.0,84.7,6.84,0.57,-1
16.8,30.0,64.2,5.04,1.55,-1
28.1,34.5,68.7,5.54,1.18,-1
24.4,24.3,68.8,6.71,0.67,-1
16.0,22.2,88.7,6.59,0.93,-1
30.2,27.4,63.6,7.74,0.65,-1
19.4,29.7,46.7,6.72,1.04,-1
17.6,22.1,60.4,4.7,0.84,-1
29.8,24.4,56.6,4.22,1.39,-1
20.2,30.2,47.3,7.55,2.82,-1
