temp_agua,temp_ambiente,umidade,ph,ec,classe
28.4,26.8,86.5,6.79,0.74,-1
31.6,33.2,82.2,4.51,1.63,-1
21.9,36.5,73.6,7.29,1.61,0
19.6,29.1,38.8,7.31,2.08,-1
28.1,25.1,93.2,7.57,2.45,-1
19.1,27.3,37.6,4.62,2.21,-1
27.9,37.4,54.5,5.48,1.67,-1
19.0,20.6,63.5,4.91,2.17,-1
23.0,34.7,77.0,5.25,2.58,-1
28.9,25.7,52.3,6.73,0.85,-1
19.2,18.1,82.2,6.66,2.26,-1
28.5,27.2,69.1,4.56,0.79,-1
26.7,27.4,68.9,7.06,2.09,-1
24.9,29.2,53.2,4.12,1.59,-1
19.4,26.2,86.2,4.94,0.65,-1
20.5,23.9,74.7,6.23,2.46,1
26.6,26.1,83.8,4.67,0.56,-1
17.4,32.4,62.7,4.65,1.75,-1
18.4,31.9,61.8,5.52,1.25,0
26.1,25.2,40.3,4.47,2.9,-1
30.5,32.0,51.0,7.88,2.45,-1
27.5,27.0,51.3,4.39,2.76,-1
23.3,22.0,53.4,6.32,0.94,0
29.7,33.2,78.2,5.73,2.07,-1
25.3,31.0,40.1,5.66,0.6,-1
23.9,24.6,43.7,4.41,1.97,0
18.7,36.5,69.9,5.39,1.98,-1
16.4,37.2,63.9,7.13,0.71,-1
23.8,27.8,91.3,6.29,1.68,1
20.3,24.6,66.2,5.76,0.55,1
29.2,35.9,43.4,6.22,0.77,-1
26.8,23.6,74.6,6.91,2.42,-1
17.7,36.3,48.8,4.15,1.89,-1
21.9,34.6,83.5,5.27,2.88,-1
20.7,28.3,50.4,7.74,0.91,-1
16.7,26.7,94.5,7.57,2.37,-1
30.3,35.9,66.1,5.26,2.43,-1
26.6,25.5,40.7,6.99,1.16,-1
31.0,22.8,42.4,7.32,0.88,-1
18.9,30.0,87.5,4.79,1.28,-1
28.4,37.4,65.0,4.58,0.53,-1
19.7,20.6,75.7,4.49,1.77,-1
27.1,29.6,47.0,7.22,2.29,-1
27.8,20.6,42.4,7.71,1.49,-1
20.8,27.8,74.8,7.82,1.22,1
30.8,18.5,68.3,6.54,0.76,-1
